Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Undergraduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time",Availability of courses,5,Doubts remain unclear,Never,Neutral,Yes,"Better interaction with instructors, Easier to focus",Neutral,Average,Disagree,Offline,Offline
Undergraduate,Male,Information & Technology,Domestic student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time, 3 hour scheduled classes are often 1 hour, massive time waste to commute","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, ","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear, Professors getting interrupted during lecture from children and partner, professor barley teaching and constantly offloading course material from cisco linkd in and other websites. ",Sometimes,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Not working,Online,No,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time",Availability of courses,4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Average,Agree,Online,Offline
Graduate,Male,Business,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,Doubts remain unclear,Sometimes,Very satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Disagree,Online,Online
Undergraduate,Male,Information & Technology,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Quality of education, Availability of courses","Cost, Convenience of location, Face-to-face interaction with instructors and peers",5,Lack of interaction with peers,Very often,Very satisfied,Yes,Doubt clarity,Neutral,Average,Neutral,Online,Online
Undergraduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,4,"Poor internet connection, Technical difficulties, It's harder to ask instructors problems, since they would leave the online secession before the class time is over",Sometimes,Satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Neutral,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,No,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Lack of access to course materials",Sometimes,Very satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Unsatisfied,Average,Neutral,Online,Online
Undergraduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",5,Difficulty staying motivated,Very often,Very satisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Prefer in-person exams and assessments,4,Doubts remain unclear,Very often,Satisfied,Yes,"More structured schedule, Doubt clarity",Neutral,Good,Neutral,Offline,Online
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Male,Information & Technology,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Technical difficulties",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Very often,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments, Study Environment is better inperson",2,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Neutral,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Engineering,Domestic student,Not working,Offline (In-person),Yes,"Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Strongly agree,Offline,Online
Undergraduate,Male,Business,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Can’t talk directly to professor. Have to email them to communicate and if I want to speak with them have to schedule a MS Teams call. Overall, it’s a bit of delayed communication, especially with certain professors who don’t respond to emails for days or weeks.",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Medical,Domestic student,Full-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time, Recorded lectures",Availability of courses,5,Unrecorded lectures,Sometimes,Very satisfied,Yes,Doubt clarity,Very satisfied,Average,Agree,Offline,Offline
Undergraduate,Female,Business,Domestic student,Not working,Online,No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Difficulty staying motivated, Doubts remain unclear",Sometimes,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
High School,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),No,I have a disability that makes online classes untenable,"Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,Difficulty staying motivated,Never,Very unsatisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost","Flexibility in schedule, Cost",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Business,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time","Convenience of location, Face-to-face interaction with instructors and peers, Availability of courses",4,Technical difficulties,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Online,Online
Graduate,Female,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Lack of interaction with peers,Sometimes,Satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Very satisfied,Average,Neutral,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors, Availability of courses","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Cost, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Convenience of location, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Difficulty staying motivated, Technical difficulties",Rarely,Neutral,No,Doubt clarity,Neutral,Average,Agree,Offline,Offline
Undergraduate,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Cost, Quality of education","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, More structured schedule",Satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Female,Literature,Foreign (International) student,Part-time,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",2,"Difficulty staying motivated, Lack of access to course materials",Rarely,Neutral,Yes,Doubt clarity,Neutral,Average,Disagree,Online,Online
Graduate,Prefer not to say,Media,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost",Convenience of location,1,Difficulty staying motivated,Never,Satisfied,No,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Offline,Offline
High School,Male,Business,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Interaction with peers/instructors, Avoiding travel/commute time, ","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, in person classes are much more engaging and easier to pay attention to, and people talk to each other in classes whereas in online classes people are less prone to ask the teacher questions and talk to each other",2,"Lack of interaction with peers, Difficulty staying motivated, very unengaging ",Rarely,Very satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Average,Strongly agree,Online,Offline
Graduate,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Offline,Online
Graduate,Male,Engineering,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Not working,Online,No,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Doubts remain unclear",Sometimes,Very satisfied,Yes,"More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Business,Foreign (International) student,Not working,Online,Yes,Convenience of location,Face-to-face interaction with instructors and peers,5,Doubts remain unclear,Rarely,Neutral,Yes,Doubt clarity,Neutral,Average,Agree,Offline,Online
Undergraduate,Male,Business,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Technical difficulties",Sometimes,Satisfied,No,More structured schedule,Satisfied,Good,Neutral,Online,Online
Graduate,Male,Business,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers",4,Poor internet connection,Very often,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Quality of education, Availability of courses",Cost,2,Lack of interaction with peers,Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time, ","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments, ",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear, U",Very often,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Female,Economics,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education",Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Average,Strongly disagree,Online,Online
Undergraduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Technical difficulties",Rarely,Satisfied,No,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.), Doubt clarity",Neutral,Average,Neutral,Offline,Offline
Graduate,Female,Science,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Cost, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Very often,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Female,Bsc Mathematics,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Quality of education, Availability of courses","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Good,Strongly agree,Online,Offline
